,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
220,Citroen,Grand C4 Spacetourer,1.5bluehdi Shine Eat8 130,2019,,99.000 km,Diesel,130 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-15bluehdi-shine-eat8-130-en-sevilla.htm?id=7628850,19900
221,Citroen,Grand C4 Spacetourer,1.5bluehdi Shine Pack Eat8 130,2020,,110.000 km,Diesel,130 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-15bluehdi-shine-pack-eat8-130-en-huelva.htm?id=7518336,20950
222,Citroen,Grand C4 Spacetourer,1.2 Puretech S&s Rip Curl 130,2018,,72.000 km,Gasolina,130 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-12-puretech-s_s-rip-curl-130-en-sevilla.htm?id=8079975,21500
223,Citroen,Grand C4 Spacetourer,1.5bluehdi Shine Eat8 130,2019,07,94.902 km,Diesel,130 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-15bluehdi-shine-eat8-130-en-madrid.htm?id=8046500,19490
224,Citroen,Grand C4 Spacetourer,1.2 Puretech S&s Feel 130,2021,07,26.742 km,Gasolina,130 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-12-puretech-s_s-feel-130-en-toledo.htm?id=8067556,18599
225,Citroen,Grand C4 Spacetourer,1.5bluehdi S&s Feel 130,2021,02,73.540 km,Diesel,130 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-15bluehdi-s_s-feel-130-en-toledo.htm?id=8097081,17799
226,Citroen,Grand C4 Spacetourer,1.6bluehdi S&s Live 120,2018,,45.000 km,Diesel,120 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-16bluehdi-s_s-live-120-en-alicante.htm?id=8061529,17495
227,Citroen,Grand C4 Spacetourer,1.5bluehdi S&s C-series 130,2022,07,31.084 km,Diesel,130 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-15bluehdi-s_s-c-series-130-en-madrid.htm?id=8118609,21990
228,Citroen,Grand C4 Spacetourer,1.5bluehdi S&s C-series 130,2022,07,31.634 km,Diesel,130 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-15bluehdi-s_s-c-series-130-en-madrid.htm?id=8068221,21990
229,Citroen,Grand C4 Spacetourer,1.5bluehdi S&s Feel 130,2020,06,75.092 km,Diesel,130 CV,manual,5 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-15bluehdi-s_s-feel-130-en-madrid.htm?id=8013646,17990
230,Citroen,Grand C4 Spacetourer,1.5bluehdi Feel Eat8 130,2019,,39.000 km,Diesel,130 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-15bluehdi-feel-eat8-130-en-sevilla.htm?id=8079973,21500
231,Citroen,Grand C4 Spacetourer,1.2 Puretech S&s Feel 130,2018,,158.000 km,Gasolina,130 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-12-puretech-s_s-feel-130-en-badajoz.htm?id=8069408,13600
232,Citroen,Grand C4 Spacetourer,1.5bluehdi C-series Eat8 130,2021,07,38.754 km,Diesel,130 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-15bluehdi-c-series-eat8-130-en-vizcaya.htm?id=8063692,24900
233,Citroen,Grand C4 Spacetourer,1.5bluehdi S&s Feel 130,2019,,60.000 km,Diesel,130 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-15bluehdi-s_s-feel-130-en-ciudad+real.htm?id=8040586,19990
234,Citroen,Grand C4 Spacetourer,1.5bluehdi S&s Shine 130,2019,04,52.664 km,Diesel,130 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-15bluehdi-s_s-shine-130-en-toledo.htm?id=8040279,20299
235,Citroen,Grand C4 Spacetourer,1.5bluehdi S&s Feel 130,2022,02,24.698 km,Diesel,130 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-15bluehdi-s_s-feel-130-en-barcelona.htm?id=8035761,24950
236,Citroen,Grand C4 Spacetourer,1.5bluehdi Shine Pack Eat8 130,2022,01,29.766 km,Diesel,130 CV,automática secuencial,5 puertas,EEU - PINTURA ARENA,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-15bluehdi-shine-pack-eat8-130-en-badajoz.htm?id=8018341,29500
237,Citroen,Grand C4 Spacetourer,1.6bluehdi S&s Shine 120,2018,,107.000 km,Diesel,120 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-16bluehdi-s_s-shine-120-en-madrid.htm?id=8005257,17990
238,Citroen,Grand C4 Spacetourer,1.2 Puretech S&s Live 130,2021,03,99.297 km,Gasolina,130 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-12-puretech-s_s-live-130-en-malaga.htm?id=7896515,18500
239,Citroen,Grand C4 Spacetourer,1.2 Puretech S&s Feel 130,2021,02,120.000 km,Gasolina,130 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-12-puretech-s_s-feel-130-en-malaga.htm?id=7896492,18900
240,Citroen,Grand C4 Spacetourer,1.5bluehdi Shine Eat8 130,2019,,99.000 km,Diesel,130 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-15bluehdi-shine-eat8-130-en-sevilla.htm?id=7628850,19900
241,Citroen,Grand C4 Spacetourer,1.5bluehdi Shine Pack Eat8 130,2020,,110.000 km,Diesel,130 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-15bluehdi-shine-pack-eat8-130-en-huelva.htm?id=7518336,20950
242,Citroen,Grand C4 Spacetourer,1.2 Puretech S&s Rip Curl 130,2018,,72.000 km,Gasolina,130 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-12-puretech-s_s-rip-curl-130-en-sevilla.htm?id=8079975,21500
243,Citroen,Grand C4 Spacetourer,1.5bluehdi Shine Eat8 130,2019,07,94.902 km,Diesel,130 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-citroen-grand+c4+spacetourer-15bluehdi-shine-eat8-130-en-madrid.htm?id=8046500,19490
