,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
146,Smart,Forfour,Electric Drive,2018,03,74.369 km,Eléctrico,82 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-electric-drive-en-badajoz.htm?id=8057440,13900
147,Smart,Forfour,66 Perfect Aut.,2018,12,15.209 km,Gasolina,90 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-perfect-aut-en-barcelona.htm?id=8056076,16500
148,Smart,Forfour,Eq,2019,08,22.900 km,Eléctrico,82 CV,"directo, sin caja de cambios",5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-eq-en-barcelona.htm?id=8051102,17900
149,Smart,Forfour,Eq,2019,08,10.500 km,Eléctrico,82 CV,"directo, sin caja de cambios",5 puertas,BLANCO/ROJO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-eq-en-barcelona.htm?id=7989372,19900
150,Smart,Forfour,66 Aut.,2018,09,44.000 km,Gasolina,90 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-aut-en-madrid.htm?id=8112965,14990
151,Smart,Forfour,66 Aut.,2018,08,52.275 km,Gasolina,90 CV,automática secuencial,5 puertas,GRIS,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-aut-en-jaen.htm?id=8025998,14990
152,Smart,Forfour,66 Aut.,2018,,67.000 km,Gasolina,90 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-aut-en-tenerife.htm?id=8009554,13990
153,Smart,Forfour,52 Passion,2015,02,69.950 km,Gasolina,71 CV,manual,5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-52-passion-en-jaen.htm?id=7987499,10490
154,Smart,Forfour,52 Passion,2016,04,59.638 km,Gasolina,71 CV,manual,5 puertas,Naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-52-passion-en-madrid.htm?id=7969417,10850
155,Smart,Forfour,Electric Drive Passion,2018,,24.510 km,Eléctrico,82 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-electric-drive-passion-en-valencia.htm?id=7939759,16900
156,Smart,Forfour,66 Aut.,2018,04,55.000 km,Gasolina,90 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-aut-en-barcelona.htm?id=7721150,15900
157,Smart,Forfour,52 Passion,2014,11,125.500 km,Gasolina,71 CV,manual,5 puertas,Gris / Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-52-passion-en-vizcaya.htm?id=7641401,10490
158,Smart,Forfour,Eq,2020,,10.000 km,Eléctrico,82 CV,automática,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-eq-en-alicante.htm?id=8120853,15495
159,Smart,Forfour,66 Passion,2016,,91.052 km,Gasolina,90 CV,manual,5 puertas,naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-passion-en-tenerife.htm?id=8125409,9340
160,Smart,Forfour,1.5 Cdi Pulse 68 Aut.,2005,,198.000 km,Diesel,68 CV,manual automatizada,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-15-cdi-pulse-68-aut-en-almeria.htm?id=7966254,2200
161,Smart,Forfour,66 Passion,2017,,40.000 km,Gasolina,90 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-passion-en-salamanca.htm?id=7733918,10500
162,Smart,Forfour,52 Passion,2016,,78.000 km,Gasolina,71 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-52-passion-en-palmas+las.htm?id=8110867,8995
163,Smart,Forfour,Eq,2019,,9.000 km,Eléctrico,82 CV,automática,5 puertas,naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-eq-en-madrid.htm?id=8124056,14990
164,Smart,Forfour,66 Passion Aut.,2017,01,77.820 km,Gasolina,90 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-passion-aut-en-toledo.htm?id=8108428,11899
165,Smart,Forfour,66 Passion Aut.,2016,08,35.065 km,Gasolina,90 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-passion-aut-en-toledo.htm?id=8093262,12999
166,Smart,Forfour,Electric Drive,2018,03,74.369 km,Eléctrico,82 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-electric-drive-en-badajoz.htm?id=8057440,13900
167,Smart,Forfour,66 Perfect Aut.,2018,12,15.209 km,Gasolina,90 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-perfect-aut-en-barcelona.htm?id=8056076,16500
168,Smart,Forfour,Eq,2019,08,22.900 km,Eléctrico,82 CV,"directo, sin caja de cambios",5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-eq-en-barcelona.htm?id=8051102,17900
169,Smart,Forfour,Eq,2019,08,10.500 km,Eléctrico,82 CV,"directo, sin caja de cambios",5 puertas,BLANCO/ROJO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-eq-en-barcelona.htm?id=7989372,19900
170,Smart,Forfour,66 Aut.,2018,09,44.000 km,Gasolina,90 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-aut-en-madrid.htm?id=8112965,14990
171,Smart,Forfour,66 Aut.,2018,08,52.275 km,Gasolina,90 CV,automática secuencial,5 puertas,GRIS,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-aut-en-jaen.htm?id=8025998,14990
172,Smart,Forfour,66 Aut.,2018,,67.000 km,Gasolina,90 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-aut-en-tenerife.htm?id=8009554,13990
173,Smart,Forfour,52 Passion,2015,02,69.950 km,Gasolina,71 CV,manual,5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-52-passion-en-jaen.htm?id=7987499,10490
174,Smart,Forfour,52 Passion,2016,04,59.638 km,Gasolina,71 CV,manual,5 puertas,Naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-52-passion-en-madrid.htm?id=7969417,10850
175,Smart,Forfour,Electric Drive Passion,2018,,24.510 km,Eléctrico,82 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-electric-drive-passion-en-valencia.htm?id=7939759,16900
176,Smart,Forfour,66 Aut.,2018,04,55.000 km,Gasolina,90 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-aut-en-barcelona.htm?id=7721150,15900
177,Smart,Forfour,52 Passion,2014,11,125.500 km,Gasolina,71 CV,manual,5 puertas,Gris / Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-52-passion-en-vizcaya.htm?id=7641401,10490
178,Smart,Forfour,Eq,2020,,10.000 km,Eléctrico,82 CV,automática,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-eq-en-alicante.htm?id=8120853,15495
179,Smart,Forfour,66 Passion,2016,,91.052 km,Gasolina,90 CV,manual,5 puertas,naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-passion-en-tenerife.htm?id=8125409,9340
180,Smart,Forfour,1.5 Cdi Pulse 68 Aut.,2005,,198.000 km,Diesel,68 CV,manual automatizada,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-15-cdi-pulse-68-aut-en-almeria.htm?id=7966254,2200
181,Smart,Forfour,66 Passion,2017,,40.000 km,Gasolina,90 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-passion-en-salamanca.htm?id=7733918,10500
182,Smart,Forfour,52 Passion,2016,,78.000 km,Gasolina,71 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-52-passion-en-palmas+las.htm?id=8110867,8995
183,Smart,Forfour,Eq,2019,,9.000 km,Eléctrico,82 CV,automática,5 puertas,naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-eq-en-madrid.htm?id=8124056,14990
184,Smart,Forfour,66 Passion Aut.,2017,01,77.820 km,Gasolina,90 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-passion-aut-en-toledo.htm?id=8108428,11899
185,Smart,Forfour,66 Passion Aut.,2016,08,35.065 km,Gasolina,90 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-passion-aut-en-toledo.htm?id=8093262,12999
186,Smart,Forfour,Electric Drive,2018,03,74.369 km,Eléctrico,82 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-electric-drive-en-badajoz.htm?id=8057440,13900
187,Smart,Forfour,66 Perfect Aut.,2018,12,15.209 km,Gasolina,90 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-perfect-aut-en-barcelona.htm?id=8056076,16500
188,Smart,Forfour,Eq,2019,08,22.900 km,Eléctrico,82 CV,"directo, sin caja de cambios",5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-eq-en-barcelona.htm?id=8051102,17900
189,Smart,Forfour,Eq,2019,08,10.500 km,Eléctrico,82 CV,"directo, sin caja de cambios",5 puertas,BLANCO/ROJO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-eq-en-barcelona.htm?id=7989372,19900
190,Smart,Forfour,66 Aut.,2018,09,44.000 km,Gasolina,90 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-aut-en-madrid.htm?id=8112965,14990
191,Smart,Forfour,66 Aut.,2018,08,52.275 km,Gasolina,90 CV,automática secuencial,5 puertas,GRIS,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-aut-en-jaen.htm?id=8025998,14990
192,Smart,Forfour,66 Aut.,2018,,67.000 km,Gasolina,90 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-aut-en-tenerife.htm?id=8009554,13990
193,Smart,Forfour,52 Passion,2015,02,69.950 km,Gasolina,71 CV,manual,5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-52-passion-en-jaen.htm?id=7987499,10490
194,Smart,Forfour,52 Passion,2016,04,59.638 km,Gasolina,71 CV,manual,5 puertas,Naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-52-passion-en-madrid.htm?id=7969417,10850
195,Smart,Forfour,Electric Drive Passion,2018,,24.510 km,Eléctrico,82 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-electric-drive-passion-en-valencia.htm?id=7939759,16900
196,Smart,Forfour,66 Aut.,2018,04,55.000 km,Gasolina,90 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-66-aut-en-barcelona.htm?id=7721150,15900
197,Smart,Forfour,52 Passion,2014,11,125.500 km,Gasolina,71 CV,manual,5 puertas,Gris / Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-smart-forfour-52-passion-en-vizcaya.htm?id=7641401,10490
