,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
984,Ford,Kuga,2.5 Duratec Phev St-line X 4x2,2021,,33.155 km,Híbrido,225 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-25-duratec-phev-st-line-x-4x2-en-madrid.htm?id=8099625,29890
985,Ford,Kuga,2.0tdci Auto S&s Trend+ 4x2 150,2019,,105.000 km,Diesel,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-20tdci-auto-s_s-trend+-4x2-150-en-segovia.htm?id=8087869,15900
986,Ford,Kuga,1.5 Ecoblue St-line Fwd 120 Aut.,2021,,155.000 km,Diesel,120 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-15-ecoblue-st-line-fwd-120-aut-en-madrid.htm?id=8084907,17990
987,Ford,Kuga,1.5tdci Auto S&s Trend+ 4x2 120,2018,,60.000 km,Diesel,120 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-15tdci-auto-s_s-trend+-4x2-120-en-malaga.htm?id=8034973,14999
988,Ford,Kuga,2.5 Duratec Phev St-line 4x2,2023,,4.000 km,Híbrido,225 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-ford-kuga-25-duratec-phev-st-line-4x2-en-toledo.htm?id=8101147,34500
989,Ford,Kuga,1.5 Ecob. Auto S&s Trend+ 4x2 120,2019,,38.125 km,Gasolina,120 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-15-ecob-auto-s_s-trend+-4x2-120-en-cadiz.htm?id=8099705,16990
990,Ford,Kuga,2.5 Duratec Fhev St-line X 4x2 Aut.,2021,08,19.031 km,Híbrido,190 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-25-duratec-fhev-st-line-x-4x2-aut-en-valencia.htm?id=7958155,28900
991,Ford,Kuga,2.5 Duratec Fhev St-line 4x2 Aut.,2023,07,10 km,Híbrido,190 CV,automática secuencial,5 puertas,Blanco (sólido),Profesional,https://www.coches.com/km0/seminuevo-ford-kuga-25-duratec-fhev-st-line-4x2-aut-en-barcelona.htm?id=7895564,33750
992,Ford,Kuga,1.5 Ecoblue St-line Fwd 120 Aut.,2022,,29.435 km,Diesel,120 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-15-ecoblue-st-line-fwd-120-aut-en-madrid.htm?id=7984857,27900
993,Ford,Kuga,2.5 Duratec Phev St-line 4x2,2022,05,27.000 km,Híbrido,225 CV,automática secuencial,5 puertas,Plata Solar (metalizado),Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-25-duratec-phev-st-line-4x2-en-barcelona.htm?id=7909711,36700
994,Ford,Kuga,1.5 Ecoblue St-line Fwd 120,2021,01,34.902 km,Diesel,120 CV,manual,5 puertas,Azul Egeo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-15-ecoblue-st-line-fwd-120-en-cordoba.htm?id=7897699,29900
995,Ford,Kuga,2.0tdci Trend 2wd,2010,,173.000 km,Diesel,140 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-20tdci-trend-2wd-en-rioja+la.htm?id=8053846,9850
996,Ford,Kuga,1.5 Ecoboost Titanium Fwd 150,2019,04,22.665 km,Gasolina,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-kuga-15-ecoboost-titanium-fwd-150-en-rioja+la.htm?id=8051581,19800
