,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
1021,Audi,A1,Sportback 1.0 Tfsi Adrenalin,2019,01,53.930 km,Gasolina,95 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-10-tfsi-adrenalin-en-sevilla.htm?id=7908393,16900
1022,Audi,A1,Sportback 30 Tfsi Adrenalin,2022,11,11.100 km,Gasolina,110 CV,manual,5 puertas,Blanco Glaciar (metalizado)/Te,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-30-tfsi-adrenalin-en-cadiz.htm?id=7870278,25500
1023,Audi,A1,Sportback 25 Tfsi,2020,,37.000 km,Gasolina,95 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-25-tfsi-en-navarra.htm?id=7952280,19700
1024,Audi,A1,Sportback 25 Tfsi,2022,,18.000 km,Gasolina,95 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-25-tfsi-en-barcelona.htm?id=8013700,20200
1025,Audi,A1,Sportback 1.6tdi Attraction,2014,,111.000 km,Diesel,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-16tdi-attraction-en-barcelona.htm?id=8049442,11490
1026,Audi,A1,Sportback 1.6tdi Adrenalin S Tronic,2017,,41.000 km,Diesel,116 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-16tdi-adrenalin-s-tronic-en-barcelona.htm?id=7894263,14975
1027,Audi,A1,Sportback 1.6tdi Adrenalin2,2017,,95.000 km,Diesel,116 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-16tdi-adrenalin2-en-tarragona.htm?id=8125679,14000
1028,Audi,A1,Sportback 1.6tdi Adrenalin2,2017,,95.000 km,Diesel,116 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-16tdi-adrenalin2-en-tarragona.htm?id=8125678,14000
1029,Audi,A1,Sportback 25 Tfsi Adrenalin,2019,,39.000 km,Gasolina,95 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-25-tfsi-adrenalin-en-zaragoza.htm?id=8125235,16500
1030,Audi,A1,Sportback 25 Tfsi,2020,,44.000 km,Gasolina,95 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-25-tfsi-en-palmas+las.htm?id=8030733,17900
1031,Audi,A1,Sportback 1.6tdi Attraction,2018,,190.000 km,Diesel,116 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-16tdi-attraction-en-valencia.htm?id=7801820,9998
1032,Audi,A1,Sportback 1.4tdi Ultra Adrenalin,2015,09,81.005 km,Diesel,90 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-14tdi-ultra-adrenalin-en-toledo.htm?id=8084149,13499
1033,Audi,A1,Sportback 1.2 Tfsi Attraction,2013,07,141.738 km,Gasolina,86 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-12-tfsi-attraction-en-toledo.htm?id=8069425,9799
1034,Audi,A1,Sportback 1.2 Tfsi Attraction,2013,,130.000 km,Gasolina,86 CV,manual,5 puertas,naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-12-tfsi-attraction-en-almeria.htm?id=8061618,12500
1035,Audi,A1,Sportback 1.6tdi Attraction,2016,04,91.883 km,Diesel,116 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-16tdi-attraction-en-toledo.htm?id=8037230,13899
1036,Audi,A1,Sportback 25 Tfsi Advanced,2023,03,2.455 km,Gasolina,95 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-audi-a1-sportback-25-tfsi-advanced-en-malaga.htm?id=8024753,22500
1037,Audi,A1,Sportback 25 Tfsi Advanced,2023,03,5.420 km,Gasolina,95 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-audi-a1-sportback-25-tfsi-advanced-en-malaga.htm?id=8024750,22500
1038,Audi,A1,Sportback 30 Tfsi S Line,2019,,77.765 km,Gasolina,116 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-30-tfsi-s-line-en-almeria.htm?id=8042631,20400
1039,Audi,A1,Sportback 30 Tfsi Adrenalin Black Edition S Tronic,2023,02,4 km,Gasolina,110 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-audi-a1-sportback-30-tfsi-adrenalin-black-edition-s-tronic-en-barcelona.htm?id=8018942,27785
1040,Audi,A1,Sportback 30 Tfsi S Line,2019,,77.765 km,Gasolina,116 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-30-tfsi-s-line-en-almeria.htm?id=8002356,20400
1041,Audi,A1,Sportback 1.0 Tfsi Adrenalin,2019,01,53.930 km,Gasolina,95 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-10-tfsi-adrenalin-en-sevilla.htm?id=7908393,16900
1042,Audi,A1,Sportback 30 Tfsi Adrenalin,2022,11,11.100 km,Gasolina,110 CV,manual,5 puertas,Blanco Glaciar (metalizado)/Te,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-30-tfsi-adrenalin-en-cadiz.htm?id=7870278,25500
1043,Audi,A1,Sportback 25 Tfsi,2020,,37.000 km,Gasolina,95 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-25-tfsi-en-navarra.htm?id=7952280,19700
1044,Audi,A1,Sportback 25 Tfsi,2022,,18.000 km,Gasolina,95 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-25-tfsi-en-barcelona.htm?id=8013700,20200
1045,Audi,A1,Sportback 1.6tdi Attraction,2014,,111.000 km,Diesel,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-16tdi-attraction-en-barcelona.htm?id=8049442,11490
1046,Audi,A1,Sportback 1.6tdi Adrenalin S Tronic,2017,,41.000 km,Diesel,116 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-16tdi-adrenalin-s-tronic-en-barcelona.htm?id=7894263,14975
1047,Audi,A1,Sportback 1.6tdi Adrenalin2,2017,,95.000 km,Diesel,116 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-16tdi-adrenalin2-en-tarragona.htm?id=8125679,14000
1048,Audi,A1,Sportback 1.6tdi Adrenalin2,2017,,95.000 km,Diesel,116 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-16tdi-adrenalin2-en-tarragona.htm?id=8125678,14000
1049,Audi,A1,Sportback 25 Tfsi Adrenalin,2019,,39.000 km,Gasolina,95 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-25-tfsi-adrenalin-en-zaragoza.htm?id=8125235,16500
1050,Audi,A1,Sportback 25 Tfsi,2020,,44.000 km,Gasolina,95 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-25-tfsi-en-palmas+las.htm?id=8030733,17900
