,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Renault,Trafic,Furgón 27 L1h1 Energy Dci Tt 92kw,2017,,140.000 km,Diesel,125 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-energy-dci-tt-92kw-en-segovia.htm?id=8099433,12900
1,Renault,Trafic,Furgón 29 L2h1 Dci 84kw,2016,,145.000 km,Diesel,114 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l2h1-dci-84kw-en-segovia.htm?id=8077722,15609
2,Renault,Trafic,Furgón 29 L2h1 Energy Bluedci 88kw,2019,,121.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l2h1-energy-bluedci-88kw-en-malaga.htm?id=8002369,18995
3,Renault,Trafic,2.0dci Fg. 27 L1h1 115 E5,2012,,150.000 km,Diesel,115 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-20dci-fg-27-l1h1-115-e5-en-barcelona.htm?id=8122684,8950
4,Renault,Trafic,Combi 9 1.6dci Tt En. L 92kw,2018,11,102.487 km,Diesel,125 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-9-16dci-tt-en-l-92kw-en-barcelona.htm?id=8111428,17490
5,Renault,Trafic,Furgón L2h1 Bluedci 110kw Cu Aumentada,2023,,130.000 km,Diesel,150 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-l2h1-bluedci-110kw-cu-aumentada-en-madrid.htm?id=8073758,29990
6,Renault,Trafic,Furgón 27 L1h1 Dci 88kw,2018,,100.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-88kw-en-tarragona.htm?id=8066513,14400
7,Renault,Trafic,Combi Mixto 5/6 1.6dci N1 L 70kw,2020,01,80.965 km,Diesel,95 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-mixto-56-16dci-n1-l-70kw-en-pontevedra.htm?id=8056098,15400
8,Renault,Trafic,Passenger 2.0dci Energy Blue 88kw,2020,,57.000 km,Diesel,120 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-passenger-20dci-energy-blue-88kw-en-palmas+las.htm?id=8035426,28990
9,Renault,Trafic,Furgón 29 L1h1 Energy Bluedci 88kw,2019,,74.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l1h1-energy-bluedci-88kw-en-navarra.htm?id=8002107,17500
10,Renault,Trafic,Combi Mixto 5/6 1.6dci Tt Energy N1 92kw,2016,,140.000 km,Diesel,125 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-mixto-56-16dci-tt-energy-n1-92kw-en-barcelona.htm?id=8130284,16990
11,Renault,Trafic,Combi 9 1.6dci Tt En. L 92kw,2016,,127.000 km,Diesel,125 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-9-16dci-tt-en-l-92kw-en-navarra.htm?id=8091617,18300
12,Renault,Trafic,Furgón 27 L1h1 Energy Bluedci 88kw,2020,,175.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-energy-bluedci-88kw-en-navarra.htm?id=8082439,14400
13,Renault,Trafic,Furgón 29 L1h1 Dci 88kw,2018,,140.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l1h1-dci-88kw-en-barcelona.htm?id=8049276,14490
14,Renault,Trafic,Combi Mixto 5/6 2.0dci Energy Blue L N1 88kw,2020,,183.060 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-mixto-56-20dci-energy-blue-l-n1-88kw-en-sevilla.htm?id=7907956,17181
15,Renault,Trafic,Furgón 29 L1h1 Energy Dci Tt 92kw,2017,,125.000 km,Diesel,125 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l1h1-energy-dci-tt-92kw-en-navarra.htm?id=8129256,15400
16,Renault,Trafic,Sl Limited 1.6dci Energy 88kw,2019,06,96.000 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-sl-limited-16dci-energy-88kw-en-palmas+las.htm?id=8108393,19990
17,Renault,Trafic,Combi 9 2.0dci Energy Blue 107kw,2020,,84.242 km,Diesel,145 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-9-20dci-energy-blue-107kw-en-navarra.htm?id=8079944,24990
18,Renault,Trafic,Furgón 29 L2h1 Energy Bluedci 88kw,2021,,68.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l2h1-energy-bluedci-88kw-en-navarra.htm?id=8056384,19200
19,Renault,Trafic,Furgón 29 L1h1 Energy Dci Tt 92kw,2017,,112.000 km,Diesel,125 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l1h1-energy-dci-tt-92kw-en-navarra.htm?id=8036785,15700
20,Renault,Trafic,Furgón 27 L1h1 Dci 88kw,2019,,69.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-88kw-en-navarra.htm?id=8002158,17900
21,Renault,Trafic,Furgón 29 L1h1 Dci 88kw,2018,,129.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l1h1-dci-88kw-en-navarra.htm?id=8002139,15750
22,Renault,Trafic,Combi 9 1.6dci Energy 88kw,2019,08,93.173 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-9-16dci-energy-88kw-en-pontevedra.htm?id=7983655,20250
23,Renault,Trafic,Furgón 27 L1h1 Dci 88kw,2017,,189.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-88kw-en-navarra.htm?id=7939581,13000
24,Renault,Trafic,Furgón 29 L1h1 Energy Dci Tt 107kw,2017,,207.000 km,Diesel,145 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l1h1-energy-dci-tt-107kw-en-navarra.htm?id=7929287,12900
25,Renault,Trafic,Furgón 27 L1h1 Dci 88kw,2017,07,111.078 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-88kw-en-pontevedra.htm?id=7905357,15289
26,Renault,Trafic,Furgón 27 L1h1 Dci 88kw,2017,07,111.078 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-88kw-en-lugo.htm?id=7905222,15289
27,Renault,Trafic,Furgón 27 L1h1 Dci 88kw,2017,07,111.078 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-88kw-en-ourense.htm?id=7905218,15289
28,Renault,Trafic,Furgón 27 L1h1 Dci 88kw,2017,07,111.078 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-88kw-en-coruna+a.htm?id=7905199,15289
29,Renault,Trafic,Furgón 29 L1h1 Energy Bluedci 107kw,2019,,179.000 km,Diesel,145 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l1h1-energy-bluedci-107kw-en-madrid.htm?id=7884307,17900
30,Renault,Trafic,Furgón 29 L1h1 Dci 84kw,2016,,137.000 km,Diesel,115 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l1h1-dci-84kw-en-navarra.htm?id=8129257,14600
31,Renault,Trafic,Furgón 27 L1h1 Dci 70kw,2018,,138.000 km,Diesel,95 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-70kw-en-alicante.htm?id=8113801,15600
32,Renault,Trafic,Furgón 27 L1h1 Dci 70kw,2019,,184.000 km,Diesel,95 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-70kw-en-barcelona.htm?id=8112201,13990
33,Renault,Trafic,Furgón 27 L1h1 Dci 70kw,2019,,179.000 km,Diesel,95 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-70kw-en-girona.htm?id=8108579,13995
34,Renault,Trafic,Passenger 1.6dci Tt En. Edition 125,2017,,84.037 km,Diesel,125 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-passenger-16dci-tt-en-edition-125-en-pontevedra.htm?id=8098364,21800
35,Renault,Trafic,Furgón 27 L1h1 Dci 88kw,2019,,159.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-88kw-en-navarra.htm?id=8091607,15900
36,Renault,Trafic,Furgón 27 L1h1 Dci 88kw,2019,,156.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-88kw-en-navarra.htm?id=7967360,15600
37,Renault,Trafic,Furgón 29 L2h1 Dci 88kw,2017,03,126.171 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l2h1-dci-88kw-en-pontevedra.htm?id=7954418,13990
38,Renault,Trafic,Furgón L2h1 Bluedci 81kw Cu Aumentada,2021,,135.000 km,Diesel,110 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-l2h1-bluedci-81kw-cu-aumentada-en-navarra.htm?id=8129269,18100
39,Renault,Trafic,Combi 9 1.6dci Tt En. L 92kw,2017,03,99.995 km,Diesel,125 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-9-16dci-tt-en-l-92kw-en-pontevedra.htm?id=8127049,19500
40,Renault,Trafic,Combi 9 2.0dci Energy Blue Largo 107kw,2020,,160.556 km,Diesel,145 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-9-20dci-energy-blue-largo-107kw-en-ciudad+real.htm?id=8098355,23900
41,Renault,Trafic,Combi 9 1.6dci Energy Largo 88kw,2018,,122.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-9-16dci-energy-largo-88kw-en-navarra.htm?id=8073539,19050
42,Renault,Trafic,Combi Mixto 5/6 2.0dci Energy Blue L N1 88kw,2020,,170.154 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-mixto-56-20dci-energy-blue-l-n1-88kw-en-malaga.htm?id=8062346,21500
43,Renault,Trafic,Furgón 29 L1h2 Energy Dci Tt 92kw,2018,07,78.000 km,Diesel,125 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l1h2-energy-dci-tt-92kw-en-barcelona.htm?id=8061818,18990
44,Renault,Trafic,Furgón 29 L1h1 Energy Bluedci 70kw,2019,,266.350 km,Diesel,95 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l1h1-energy-bluedci-70kw-en-malaga.htm?id=8061454,16500
45,Renault,Trafic,Passenger 1.6dci Tt Energy 92kw,2018,04,133.000 km,Diesel,125 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-passenger-16dci-tt-energy-92kw-en-sevilla.htm?id=8028185,21150
46,Renault,Trafic,Combi 9 2.0dci Energy Blue 107kw,2019,,72.000 km,Diesel,145 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-9-20dci-energy-blue-107kw-en-vizcaya.htm?id=8128246,32800
47,Renault,Trafic,Passenger 2.0dci Energy Blue 88kw,2019,,80.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-passenger-20dci-energy-blue-88kw-en-palmas+las.htm?id=8125689,25990
48,Renault,Trafic,Combi Mixto 5/6 1.6dci Tt Energy L N1 92kw,2017,,74.701 km,Diesel,125 CV,manual,4 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-mixto-56-16dci-tt-energy-l-n1-92kw-en-barcelona.htm?id=8122241,32990
49,Renault,Trafic,Passenger 1.6dci Tt Energy 92kw,2019,,49.000 km,Diesel,125 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-passenger-16dci-tt-energy-92kw-en-tenerife.htm?id=8120848,24900
50,Renault,Trafic,Passenger 2.0dci Energy Blue 88kw,2019,,117.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-passenger-20dci-energy-blue-88kw-en-palmas+las.htm?id=8104830,23990
51,Renault,Trafic,1.9dci Combi6 27 Corto Normal 80,2003,,200.000 km,Diesel,80 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-19dci-combi6-27-corto-normal-80-en-tarragona.htm?id=8091639,4800
52,Renault,Trafic,Furgón 27 L1h1 Dci 88kw,2018,,135.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-88kw-en-palmas+las.htm?id=8086901,17890
53,Renault,Trafic,Combi 9 1.6dci Energy 70kw,2019,,126.000 km,Diesel,95 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-9-16dci-energy-70kw-en-sevilla.htm?id=8083746,18900
54,Renault,Trafic,Furgón 27 L1h1 Dci 70kw,2018,,160.000 km,Diesel,95 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-70kw-en-madrid.htm?id=8079680,15990
55,Renault,Trafic,Furgón 27 L1h1 Dci 70kw,2018,,160.000 km,Diesel,95 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-70kw-en-madrid.htm?id=8079679,15990
56,Renault,Trafic,Combi 9 1.6dci Tt En. L 92kw,2017,,279.000 km,Diesel,125 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-9-16dci-tt-en-l-92kw-en-palmas+las.htm?id=8072816,16690
57,Renault,Trafic,Furgón 27 L1h1 Energy Bluedci 88kw,2020,,110.050 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-energy-bluedci-88kw-en-coruna+a.htm?id=8070630,22950
58,Renault,Trafic,2.0dci Energy Blue Equilibre 110kw,2021,06,52.000 km,Diesel,150 CV,manual,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-20dci-energy-blue-equilibre-110kw-en-malaga.htm?id=8070452,32900
59,Renault,Trafic,Combi 9 1.6dci Energy 70kw,2018,01,106.157 km,Diesel,95 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-9-16dci-energy-70kw-en-malaga.htm?id=8058915,22890
60,Renault,Trafic,Combi 9 1.6dci Energy 70kw,2018,01,106.157 km,Diesel,95 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-9-16dci-energy-70kw-en-sevilla.htm?id=8058767,22890
61,Renault,Trafic,Combi 9 1.6dci Energy 70kw,2018,01,106.157 km,Diesel,95 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-9-16dci-energy-70kw-en-madrid.htm?id=8058750,22890
62,Renault,Trafic,Combi 9 1.6dci Energy 88kw,2019,,150.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-9-16dci-energy-88kw-en-ciudad+real.htm?id=8042183,22490
63,Renault,Trafic,Furgón 27 L1h1 Dci 88kw,2019,,160.000 km,Diesel,120 CV,manual,4 puertas,verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-88kw-en-malaga.htm?id=8035377,16999
64,Renault,Trafic,2.0dci Energy Blue Authentic 81kw,2023,01,1.571 km,Diesel,110 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-renault-trafic-20dci-energy-blue-authentic-81kw-en-madrid.htm?id=8033968,38900
65,Renault,Trafic,Furgón 29 L2h1 Dci 88kw,2020,09,121.901 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l2h1-dci-88kw-en-pontevedra.htm?id=7978671,21700
66,Renault,Trafic,Spaceclass 1.6dci Tt Energy L 107kw,2018,12,49.535 km,Diesel,145 CV,manual,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-spaceclass-16dci-tt-energy-l-107kw-en-malaga.htm?id=7962799,37900
67,Renault,Trafic,Furgón Dcb. 27 L1 Dci 88kw,2017,01,96.000 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-dcb-27-l1-dci-88kw-en-palmas+las.htm?id=7959571,22990
68,Renault,Trafic,Furgón Dcb. 27 L1 Dci 88kw,2017,01,96.000 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-dcb-27-l1-dci-88kw-en-palmas+las.htm?id=7958590,22990
69,Renault,Trafic,Sl Limited 1.6dci Energy 88kw,2019,04,52.000 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-sl-limited-16dci-energy-88kw-en-palmas+las.htm?id=7915452,26990
70,Renault,Trafic,Furgón 29 L2h1 Dci 84kw,2019,05,103.309 km,Diesel,114 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l2h1-dci-84kw-en-malaga.htm?id=7900038,18900
71,Renault,Trafic,Furgón 27 L1h1 Energy Bluedci 70kw,2019,05,175.187 km,Diesel,95 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-energy-bluedci-70kw-en-sevilla.htm?id=7882523,17450
72,Renault,Trafic,Furgón 29 L2h1 Dci 88kw,2017,,139.000 km,Diesel,120 CV,automática,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l2h1-dci-88kw-en-barcelona.htm?id=6528355,14990
73,Renault,Trafic,Combi Mixto 5/6 1.6dci Tt Energy L N1 92kw,2018,,202.000 km,Diesel,125 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-mixto-56-16dci-tt-energy-l-n1-92kw-en-malaga.htm?id=8125255,18500
74,Renault,Trafic,Furgón 27 L1h1 Dci 88kw,2018,,200.823 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-88kw-en-malaga.htm?id=8122249,17500
75,Renault,Trafic,Furgón 27 L1h1 Dci 88kw,2019,,184.905 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-88kw-en-malaga.htm?id=8115357,17500
76,Renault,Trafic,Furgón 27 L1h1 Dci 88kw,2019,,255.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-88kw-en-almeria.htm?id=8108581,19300
77,Renault,Trafic,Furgón 29 L1h2 Energy Dci Tt 92kw,2018,,228.152 km,Diesel,125 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l1h2-energy-dci-tt-92kw-en-malaga.htm?id=8079175,18500
78,Renault,Trafic,Passenger 1.6dci Tt En. Edition 125,2016,01,289.000 km,Diesel,125 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-passenger-16dci-tt-en-edition-125-en-lugo.htm?id=8074241,17900
79,Renault,Trafic,2.0dci Fg. 29 L1h1 115 E5,2015,01,229.000 km,Diesel,115 CV,manual,4 puertas,Bronce,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-20dci-fg-29-l1h1-115-e5-en-lugo.htm?id=8073005,14900
80,Renault,Trafic,Combi Mixto 5/6 2.0dci Energy Blue N1 70kw,2020,,110.000 km,Diesel,95 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-mixto-56-20dci-energy-blue-n1-70kw-en-girona.htm?id=8068342,24700
81,Renault,Trafic,Furgón 27 L1h1 Dci 70kw,2017,,152.000 km,Diesel,95 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-70kw-en-girona.htm?id=8068300,16880
82,Renault,Trafic,Furgón 29 L1h1 Dci 70kw,2018,,177.000 km,Diesel,95 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l1h1-dci-70kw-en-girona.htm?id=8068289,16000
83,Renault,Trafic,Combi Mixto 5/6 1.6dci N1 115,2016,01,160.247 km,Diesel,115 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-mixto-56-16dci-n1-115-en-rioja+la.htm?id=8051573,19118
84,Renault,Trafic,Furgón L1h1 Bluedci 96kw,2019,02,191.000 km,Diesel,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-l1h1-bluedci-96kw-en-zaragoza.htm?id=8045494,14800
85,Renault,Trafic,Combi 9 1.6dci Energy 70kw,2018,07,80.000 km,Diesel,95 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-9-16dci-energy-70kw-en-alava.htm?id=8034383,23800
86,Renault,Trafic,Furgón 27 L1h1 Dci 88kw,2019,05,32.157 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-88kw-en-vizcaya.htm?id=8028362,23900
87,Renault,Trafic,Furgón 29 L1h1 Dci 70kw,2018,,108.000 km,Diesel,95 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l1h1-dci-70kw-en-barcelona.htm?id=8025633,14490
88,Renault,Trafic,Combi Mixto 5/6 1.6dci Energy N1 70kw,2018,,149.000 km,Diesel,95 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-mixto-56-16dci-energy-n1-70kw-en-alicante.htm?id=8003806,18900
89,Renault,Trafic,Furgón 29 L2h1 Dci 88kw,2019,,117.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l2h1-dci-88kw-en-malaga.htm?id=8002373,18995
90,Renault,Trafic,Combi 9 1.6dci Energy 88kw,2019,09,200.000 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-9-16dci-energy-88kw-en-barcelona.htm?id=7992671,12980
91,Renault,Trafic,Furgón 27 L1h1 Dci 88kw,2019,09,149.000 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-88kw-en-barcelona.htm?id=7989732,22373
92,Renault,Trafic,Furgón 27 L1h1 Energy Bluedci 107kw,2020,,64.776 km,Diesel,145 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-energy-bluedci-107kw-en-ciudad+real.htm?id=7986931,23500
93,Renault,Trafic,Combi 9 1.6dci Energy 70kw,2018,07,179.000 km,Diesel,95 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-combi-9-16dci-energy-70kw-en-barcelona.htm?id=7978495,13980
94,Renault,Trafic,Furgón 27 L1h1 Dci 88kw,2019,03,188.063 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-dci-88kw-en-jaen.htm?id=7978175,15500
95,Renault,Trafic,Furgón 27 L1h1 Energy Bluedci 88kw,2018,01,99.000 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-27-l1h1-energy-bluedci-88kw-en-coruna+a.htm?id=7975271,18890
96,Renault,Trafic,Furgón 29 L2h1 Energy Dci Tt 92kw,2019,,96.302 km,Diesel,125 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l2h1-energy-dci-tt-92kw-en-malaga.htm?id=7944398,17900
97,Renault,Trafic,Furgón 29 L1h1 Energy Bluedci 70kw,2019,,68.200 km,Diesel,95 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-trafic-furgon-29-l1h1-energy-bluedci-70kw-en-malaga.htm?id=7943306,20700
