,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Ford,Transit,Van Trend 170,2020,01,22.800 km,Diesel,170 CV,manual,4 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-trend-170-en-cordoba.htm?id=8083421,39990
1,Ford,Transit,Van Trend Tracción Trasera 130,2018,,26.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-trend-traccion-trasera-130-en-madrid.htm?id=8030704,31900
2,Ford,Transit,Van Ambiente 130,2018,,208.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-ambiente-130-en-lugo.htm?id=7828507,17900
3,Ford,Transit,Ft 350 L2 Van Trend 184,2022,06,2.200 km,Eléctrico,183 CV,"directo, sin caja de cambios",4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-ford-transit-ft-350-l2-van-trend-184-en-madrid.htm?id=7991508,47890
4,Ford,Transit,Ft 310 L3 Van Trend 130,2020,,94.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-310-l3-van-trend-130-en-navarra.htm?id=8036679,20100
5,Ford,Transit,Van Trend 130,2017,,161.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-trend-130-en-navarra.htm?id=7939517,16400
6,Ford,Transit,Chasis Ambiente 125,2015,,182.000 km,Diesel,125 CV,manual,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-chasis-ambiente-125-en-malaga.htm?id=8098049,14999
7,Ford,Transit,Ft 350 L3 Chasis Dcb. Trend Tr. Tra. 130,2022,,30.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350-l3-chasis-dcb-trend-tr-tra-130-en-malaga.htm?id=8083150,29400
8,Ford,Transit,Ft 350 L2 Van Trend Tracción Trasera 130,2022,04,62.000 km,Diesel,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350-l2-van-trend-traccion-trasera-130-en-lugo.htm?id=8073083,25900
9,Ford,Transit,Ft 310 L3 Van Trend 130,2019,,79.240 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-310-l3-van-trend-130-en-barcelona.htm?id=8021189,41990
10,Ford,Transit,Van Trend Tracción Trasera 130,2018,,159.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-trend-traccion-trasera-130-en-alicante.htm?id=8115391,18500
11,Ford,Transit,Van Trend Tracción Trasera 130,2019,07,189.000 km,Diesel,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-trend-traccion-trasera-130-en-lugo.htm?id=8081790,17900
12,Ford,Transit,Ft 350 L3 Chasis Ambiente 130,2018,01,182.000 km,Diesel,130 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350-l3-chasis-ambiente-130-en-lugo.htm?id=8074235,18900
13,Ford,Transit,Ft 350 L2 Van Trend 130,2023,01,1 km,Diesel,130 CV,manual,4 puertas,AZUL,Profesional,https://www.coches.com/km0/seminuevo-ford-transit-ft-350-l2-van-trend-130-en-tarragona.htm?id=8060709,36990
14,Ford,Transit,Chasis Dcb. Trend Tr. Tra. 130,2019,01,68.359 km,Diesel,130 CV,manual,4 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-chasis-dcb-trend-tr-tra-130-en-coruna+a.htm?id=8059598,29400
15,Ford,Transit,Chasis Dcb. Trend Tr. Tra. 130,2019,12,68.359 km,Diesel,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-chasis-dcb-trend-tr-tra-130-en-coruna+a.htm?id=8059488,29400
16,Ford,Transit,Van Trend Tracción Trasera 130,2018,,175.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-trend-traccion-trasera-130-en-alicante.htm?id=8040764,18300
17,Ford,Transit,Van Ambiente Tr. Tra. 130,2018,,101.000 km,Diesel,130 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-ambiente-tr-tra-130-en-navarra.htm?id=7920996,20500
18,Ford,Transit,Ft 260s Mixto 140,2009,,234.000 km,Diesel,140 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-260s-mixto-140-en-barcelona.htm?id=7760954,8490
19,Ford,Transit,Van Trend 4x4 130,2019,,79.240 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-trend-4x4-130-en-barcelona.htm?id=8128169,40990
20,Ford,Transit,Ft 310 L3 Van Trend 130,2020,,116.000 km,Diesel,130 CV,manual,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-310-l3-van-trend-130-en-madrid.htm?id=8120792,24950
21,Ford,Transit,Kombi N1 Trend 130,2018,08,59.540 km,Diesel,130 CV,manual,4 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-kombi-n1-trend-130-en-vizcaya.htm?id=8104610,36400
22,Ford,Transit,Mixta Ambiente 130,2019,04,48.000 km,Diesel,130 CV,manual,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-mixta-ambiente-130-en-vizcaya.htm?id=8104606,27400
23,Ford,Transit,Ft 350l Van Tracción Trasera 100,2014,,185.000 km,Diesel,100 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350l-van-traccion-trasera-100-en-madrid.htm?id=8085145,14990
24,Ford,Transit,Ft 350 L4 Skeletal Chasis Trend 130,2020,,103.000 km,Diesel,130 CV,manual,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350-l4-skeletal-chasis-trend-130-en-navarra.htm?id=8082455,27500
25,Ford,Transit,Kombi Tr. Trasera Trend 125,2015,,194.577 km,Diesel,125 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-kombi-tr-trasera-trend-125-en-sevilla.htm?id=8080912,19999
26,Ford,Transit,Van Trend 130,2020,01,123.657 km,Diesel,130 CV,manual,4 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-trend-130-en-barcelona.htm?id=8079620,21900
27,Ford,Transit,Kombi Trend 130,2018,,179.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-kombi-trend-130-en-madrid.htm?id=8075635,28900
28,Ford,Transit,Chasis Trend 130,2017,,132.000 km,Diesel,130 CV,manual,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-chasis-trend-130-en-navarra.htm?id=8073431,24800
29,Ford,Transit,Ft 350m Mixto 135,2005,,244.000 km,Diesel,135 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350m-mixto-135-en-vizcaya.htm?id=8064779,9999
30,Ford,Transit,Ft 350 L5 Chasis Trend Tr. Tra. 130,2020,08,124.500 km,Diesel,130 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350-l5-chasis-trend-tr-tra-130-en-madrid.htm?id=8056451,26900
31,Ford,Transit,Van Ambiente 100,2014,06,272.700 km,Diesel,100 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-ambiente-100-en-lugo.htm?id=8055790,10900
32,Ford,Transit,Van Dcb. Trend 130,2020,09,125.000 km,Diesel,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-dcb-trend-130-en-madrid.htm?id=8054247,26900
33,Ford,Transit,Ft 350 L3 Van Trend 130,2021,,129.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350-l3-van-trend-130-en-madrid.htm?id=8023877,25900
34,Ford,Transit,Ft 350 L3 Van Trend 130,2020,,155.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350-l3-van-trend-130-en-madrid.htm?id=8021221,23900
35,Ford,Transit,Van Trend Tracción Trasera 130,2017,,137.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-trend-traccion-trasera-130-en-madrid.htm?id=8002295,20900
36,Ford,Transit,Ft 300m Van 110,2007,,190.000 km,Diesel,110 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-300m-van-110-en-zaragoza.htm?id=7968529,9950
37,Ford,Transit,Chasis Trend 130,2019,,91.000 km,Diesel,130 CV,manual,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-chasis-trend-130-en-navarra.htm?id=7923817,29400
38,Ford,Transit,Van Trend 130,2020,11,102.160 km,Diesel,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-trend-130-en-sevilla.htm?id=7750126,25450
39,Ford,Transit,Van Trend 130,2020,11,100.238 km,Diesel,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-trend-130-en-sevilla.htm?id=7744248,25450
40,Ford,Transit,Van Ambiente 130,2018,,139.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-ambiente-130-en-segovia.htm?id=8122716,22990
41,Ford,Transit,Ft 350 Ecoblue Hybrid L3 Kombi Limited 130,2018,01,189.000 km,Diesel,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350-ecoblue-hybrid-l3-kombi-limited-130-en-lugo.htm?id=8074234,17900
42,Ford,Transit,Ft 350 L2 Van Ambiente 130,2018,01,199.000 km,Diesel,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350-l2-van-ambiente-130-en-lugo.htm?id=8074134,18900
43,Ford,Transit,Van Ambiente 105,2018,01,149.000 km,Diesel,105 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-ambiente-105-en-lugo.htm?id=8073023,19900
44,Ford,Transit,Van Ambiente Tr. Tra. 130,2016,01,209.000 km,Diesel,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-ambiente-tr-tra-130-en-lugo.htm?id=8073017,18900
45,Ford,Transit,Kombi Ambiente 125,2017,08,194.000 km,Diesel,125 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-kombi-ambiente-125-en-lugo.htm?id=8073000,21900
46,Ford,Transit,Kombi Ambiente 125,2017,08,211.000 km,Diesel,125 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-kombi-ambiente-125-en-lugo.htm?id=8072998,21900
47,Ford,Transit,Ft 350 L3 Van Trend 130,2022,08,75.279 km,Diesel,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350-l3-van-trend-130-en-barcelona.htm?id=8050485,25900
48,Ford,Transit,Ft 350 L2 Van Trend 130,2022,04,41.686 km,Diesel,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350-l2-van-trend-130-en-barcelona.htm?id=8050484,25900
49,Ford,Transit,Ft 350 L2 Van Trend 130,2022,04,41.071 km,Diesel,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350-l2-van-trend-130-en-barcelona.htm?id=8050481,25900
50,Ford,Transit,Ft 310 L2 Mixta Trend 130,2021,05,131.000 km,Diesel,130 CV,manual,4 puertas,,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-310-l2-mixta-trend-130-en-madrid.htm?id=8035449,25500
51,Ford,Transit,Ft 330m Kombi 115,2009,,275.345 km,Diesel,115 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-330m-kombi-115-en-sevilla.htm?id=8030013,10999
52,Ford,Transit,Ft 350 L2 Van Trend 130,2019,11,141.551 km,Diesel,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350-l2-van-trend-130-en-sevilla.htm?id=8026374,22490
53,Ford,Transit,Kombi Ambiente 105,2018,09,227.000 km,Diesel,105 CV,manual,4 puertas,,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-kombi-ambiente-105-en-madrid.htm?id=8013126,18990
54,Ford,Transit,Van Trend Tracción Trasera 130,2017,06,73.000 km,Diesel,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-trend-traccion-trasera-130-en-vizcaya.htm?id=8006171,18175
55,Ford,Transit,Ft 310 L2 Van Trend 105,2019,01,69.630 km,Diesel,105 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-310-l2-van-trend-105-en-pontevedra.htm?id=8004599,19795
56,Ford,Transit,Ft 310 L2 Van Trend 105,2019,01,69.630 km,Diesel,105 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-310-l2-van-trend-105-en-lugo.htm?id=8004231,19795
57,Ford,Transit,Ft 310 L2 Van Trend 105,2019,01,69.630 km,Diesel,105 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-310-l2-van-trend-105-en-ourense.htm?id=8004213,19795
58,Ford,Transit,Ft 310 L2 Van Trend 105,2019,01,69.630 km,Diesel,105 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-310-l2-van-trend-105-en-coruna+a.htm?id=8003957,19795
59,Ford,Transit,Van Dcb. Trend 130,2020,06,107.000 km,Diesel,130 CV,manual,4 puertas,,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-dcb-trend-130-en-madrid.htm?id=8001767,26500
60,Ford,Transit,Ft 350 L2 Chasis Trend 130,2023,09,NUEVO,Diesel,130 CV,manual,2 puertas,Blanco Sólido,Profesional,https://www.coches.com/km0/seminuevo-ford-transit-ft-350-l2-chasis-trend-130-en-barcelona.htm?id=7992369,51350
61,Ford,Transit,Ft 310 L2 Van Trend 105,2018,06,194.832 km,Diesel,105 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-310-l2-van-trend-105-en-zaragoza.htm?id=7982338,13800
62,Ford,Transit,Ft 350 L3 Chasis Trend 184,2022,01,1.173 km,Eléctrico,183 CV,"directo, sin caja de cambios",2 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-ford-transit-ft-350-l3-chasis-trend-184-en-illes+balears.htm?id=7977988,57000
63,Ford,Transit,Ft 350 L2 Van Mhev Trail 130,2022,01,2.970 km,Diesel,130 CV,manual,4 puertas,BLANCO,Profesional,https://www.coches.com/km0/seminuevo-ford-transit-ft-350-l2-van-mhev-trail-130-en-pontevedra.htm?id=7961072,37900
64,Ford,Transit,Ft 350 L2 Van Mhev Trail 130,2022,01,2.970 km,Diesel,130 CV,manual,4 puertas,BLANCO,Profesional,https://www.coches.com/km0/seminuevo-ford-transit-ft-350-l2-van-mhev-trail-130-en-coruna+a.htm?id=7961050,37900
65,Ford,Transit,Ft 350 L3 Van Trend Tracción Trasera 130,2019,,69.289 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350-l3-van-trend-traccion-trasera-130-en-sevilla.htm?id=7958626,19835
66,Ford,Transit,Van Trend 130,2017,,192.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-trend-130-en-alicante.htm?id=7957891,16500
67,Ford,Transit,Van Dcb. Trend 130,2020,09,117.000 km,Diesel,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-dcb-trend-130-en-madrid.htm?id=7936624,27900
68,Ford,Transit,Van Trend 105,2019,,154.000 km,Diesel,105 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-trend-105-en-cadiz.htm?id=7932225,10900
69,Ford,Transit,Van Trend 105,2019,,154.000 km,Diesel,105 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-trend-105-en-cadiz.htm?id=7932224,10900
70,Ford,Transit,Ft 390 L4 Chasis Trend 184,2023,06,NUEVO,Eléctrico,183 CV,"directo, sin caja de cambios",2 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-ford-transit-ft-390-l4-chasis-trend-184-en-guipuzcoa.htm?id=7923673,49900
71,Ford,Transit,Kombi Trend 170,2019,07,156.390 km,Diesel,170 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-kombi-trend-170-en-madrid.htm?id=7901118,21850
72,Ford,Transit,Van Ambiente Tr. Tra. 130,2018,,252.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-ambiente-tr-tra-130-en-alicante.htm?id=7898209,16500
73,Ford,Transit,Van Ambiente 130,2018,,190.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-ambiente-130-en-alicante.htm?id=7882833,18200
74,Ford,Transit,Ft 350 L2 Van Mhev Trail 130,2022,01,4.310 km,Diesel,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-ford-transit-ft-350-l2-van-mhev-trail-130-en-coruna+a.htm?id=7874297,35950
75,Ford,Transit,Mixta Trend 130,2016,,218.765 km,Diesel,130 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-mixta-trend-130-en-sevilla.htm?id=7869779,24999
76,Ford,Transit,Mixta Trend 170,2017,,199.876 km,Diesel,170 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-mixta-trend-170-en-sevilla.htm?id=7739294,24500
77,Ford,Transit,Mixta Trend 170,2017,,198.765 km,Diesel,170 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-mixta-trend-170-en-sevilla.htm?id=7739290,24500
78,Ford,Transit,Ft 310 L3 Van Trend 130,2019,,254.241 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-310-l3-van-trend-130-en-malaga.htm?id=7656993,17500
79,Ford,Transit,Ft 350 Ecoblue Hybrid L2 Kombi Trail 130,2022,06,1.847 km,Diesel,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-ford-transit-ft-350-ecoblue-hybrid-l2-kombi-trail-130-en-coruna+a.htm?id=7478574,36500
80,Ford,Transit,Ft 350l Chasis Cabina Simple Tr.tra. 155,2012,,343.000 km,Diesel,155 CV,manual,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350l-chasis-cabina-simple-trtra-155-en-albacete.htm?id=7404521,10900
81,Ford,Transit,Kombi Ambiente 130,2017,,176.548 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-kombi-ambiente-130-en-sevilla.htm?id=7320371,23999
82,Ford,Transit,Van Ambiente 130,2017,,146.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-ambiente-130-en-barcelona.htm?id=6963351,16490
83,Ford,Transit,Van Trend Tracción Trasera 130,2019,03,120.359 km,Diesel,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-trend-traccion-trasera-130-en-sevilla.htm?id=8074379,34500
84,Ford,Transit,Van Ambiente 125,2016,02,231.000 km,Diesel,125 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-ambiente-125-en-lugo.htm?id=8073052,16900
85,Ford,Transit,Ft 300m Kombi 100,2005,,360.000 km,Diesel,100 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-300m-kombi-100-en-murcia.htm?id=8048758,6600
86,Ford,Transit,Van Trend Aut. 170,2018,,371.000 km,Diesel,170 CV,automática secuencial,4 puertas,amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-trend-aut-170-en-barcelona.htm?id=8012881,15500
87,Ford,Transit,Ft 350 Chasis Cabina 2.0 Ecoblue L2 Trail 4x4 170,2021,03,130.844 km,Diesel,170 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350-chasis-cabina-20-ecoblue-l2-trail-4x4-170-en-barcelona.htm?id=7992880,24550
88,Ford,Transit,Chasis Ambiente 100,2016,,289.000 km,Diesel,100 CV,manual,2 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-chasis-ambiente-100-en-almeria.htm?id=7888517,9700
89,Ford,Transit,Ft 350l Mixto Tracción Trasera 100,2012,,142.000 km,Diesel,100 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350l-mixto-traccion-trasera-100-en-badajoz.htm?id=7839082,17500
90,Ford,Transit,Van Ambiente 125,2016,,231.000 km,Diesel,125 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-ambiente-125-en-lugo.htm?id=7826331,16900
91,Ford,Transit,Van Ambiente 130,2019,,140.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-ambiente-130-en-lugo.htm?id=7826110,19900
92,Ford,Transit,Ft 260s Van 85,2011,,152.000 km,Diesel,85 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-260s-van-85-en-huelva.htm?id=7717166,7500
93,Ford,Transit,Van Ambiente Tr. Tra. 130,2018,,234.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-ambiente-tr-tra-130-en-alicante.htm?id=7659469,16800
94,Ford,Transit,Van Trend 100,2016,03,150.000 km,Diesel,100 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-trend-100-en-cadiz.htm?id=7962510,16500
95,Ford,Transit,Ft 350l Chasis Cabina Simple 125 Awd,2014,,188.000 km,Diesel,125 CV,manual,2 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350l-chasis-cabina-simple-125-awd-en-cadiz.htm?id=8096740,12500
96,Ford,Transit,Chasis Ambiente Tr. Tra. 130,2018,,50 km,Diesel,130 CV,manual,2 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-chasis-ambiente-tr-tra-130-en-zaragoza.htm?id=8068336,22000
97,Ford,Transit,Ft 350 Chasis Cabina 2.0 Ecoblue Hybrid L2 Trend Fwd 170,2021,,189.740 km,Diesel,170 CV,manual,2 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350-chasis-cabina-20-ecoblue-hybrid-l2-trend-fwd-170-en-toledo.htm?id=8072311,27500
98,Ford,Transit,Ft 330m Mixto 120,2001,,220.000 km,Diesel,120 CV,manual,4 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-330m-mixto-120-en-navarra.htm?id=8007324,14000
99,Ford,Transit,Ft 280s Van,2001,,106.557 km,Diesel,75 CV,manual,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-280s-van-en-barcelona.htm?id=7977957,10100
100,Ford,Transit,Ft 350l Kombi 115,2005,,227.000 km,Diesel,115 CV,manual,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350l-kombi-115-en-barcelona.htm?id=7838397,21500
101,Ford,Transit,Van Ambiente 125,2015,,230.000 km,Diesel,125 CV,manual,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-ambiente-125-en-valencia.htm?id=7711375,10300
102,Ford,Transit,Ft 350m Van 125,2002,,122.500 km,Diesel,125 CV,manual,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350m-van-125-en-malaga.htm?id=7983593,27500
103,Ford,Transit,Ft 260s Van 85,2004,,470.000 km,Diesel,85 CV,manual,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-260s-van-85-en-madrid.htm?id=7942267,3000
104,Ford,Transit,Ft 260s Van 85,2011,,127.000 km,Diesel,85 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-260s-van-85-en-murcia.htm?id=7891821,7300
105,Ford,Transit,Van Trend Tracción Trasera 125,2014,,290.000 km,Diesel,125 CV,manual,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-van-trend-traccion-trasera-125-en-madrid.htm?id=7885534,12000
106,Ford,Transit,Ft 280s Mixto 100,2002,,90.345 km,Diesel,100 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-280s-mixto-100-en-malaga.htm?id=7790945,15000
107,Ford,Transit,Ft 350el Van Jumbo 140,2009,,197.000 km,Diesel,140 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350el-van-jumbo-140-en-alicante.htm?id=7665301,7500
108,Ford,Transit,Ft 350 Ecoblue Hybrid L3 Kombi Trail 150,2022,,26.475 km,Diesel,150 CV,manual,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350-ecoblue-hybrid-l3-kombi-trail-150-en-barcelona.htm?id=8128260,37000
