,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
159,Mercedes,Clase Cls,Cls 350d 4matic Aut.,2019,,109.000 km,Diesel,286 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cls-cls-350d-4matic-aut-en-valencia.htm?id=8085113,49900
160,Mercedes,Clase Cls,Cls 350 Aut.,2005,05,200.000 km,Gasolina,272 CV,automática,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cls-cls-350-aut-en-coruna+a.htm?id=8061127,9990
161,Mercedes,Clase Cls,Cls 350d 4matic Aut.,2018,,79.000 km,Diesel,286 CV,automática secuencial,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cls-cls-350d-4matic-aut-en-sevilla.htm?id=8027028,49900
162,Mercedes,Clase Cls,Cls 400 Aut.,2014,,168.000 km,Gasolina,333 CV,automática,4 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cls-cls-400-aut-en-alicante.htm?id=8113848,33900
163,Mercedes,Clase Cls,Cls 300d Aut.,2020,,122.000 km,Diesel,245 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cls-cls-300d-aut-en-sevilla.htm?id=8082452,45990
164,Mercedes,Clase Cls,Cls 450 4matic Aut.,2021,06,52.375 km,Gasolina,367 CV,automática secuencial,4 puertas,Gris selenita (metalizada),Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cls-cls-450-4matic-aut-en-madrid.htm?id=8017144,75990
165,Mercedes,Clase Cls,Cls 350 Aut.,2021,,51.734 km,Gasolina,299 CV,automática secuencial,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cls-cls-350-aut-en-madrid.htm?id=7995785,74990
166,Mercedes,Clase Cls,Cls 350 Aut.,2022,11,5.000 km,Gasolina,299 CV,automática secuencial,4 puertas,Negro Obsidiana,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+cls-cls-350-aut-en-barcelona.htm?id=7975555,81900
167,Mercedes,Clase Cls,Cls 320cdi Grand Edition Aut.,2010,,145.000 km,Diesel,224 CV,automática,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cls-cls-320cdi-grand-edition-aut-en-albacete.htm?id=7956425,19500
168,Mercedes,Clase Cls,Cls 400 Aut.,2015,03,93.000 km,Gasolina,333 CV,automática,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cls-cls-400-aut-en-barcelona.htm?id=6624900,36990
169,Mercedes,Clase Cls,Cls 350 Aut.,2006,,222.000 km,Gasolina,272 CV,automática,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cls-cls-350-aut-en-valencia.htm?id=8040895,9900
170,Mercedes,Clase Cls,Cls 350cdi Be (4.75) Aut.,2012,05,137.000 km,Diesel,265 CV,automática secuencial,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cls-cls-350cdi-be-475-aut-en-sevilla.htm?id=8008400,19990
171,Mercedes,Clase Cls,Cls 450 Eq Boost 4matic Aut.,2020,02,30.130 km,Gasolina,367 CV,automática secuencial,4 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cls-cls-450-eq-boost-4matic-aut-en-madrid.htm?id=7999836,70460
172,Mercedes,Clase Cls,Cls 350d 4matic Aut.,2018,,117.000 km,Diesel,286 CV,automática secuencial,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cls-cls-350d-4matic-aut-en-toledo.htm?id=7986330,48900
173,Mercedes,Clase Cls,Cls 350cdi Be 4m Aut.,2012,01,67.300 km,Diesel,265 CV,automática secuencial,4 puertas,Granate,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+cls-cls-350cdi-be-4m-aut-en-madrid.htm?id=7974251,23450
