,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Skoda,Rapid,1.0 Tsi Active 81kw,2019,01,132.000 km,Gasolina,110 CV,manual,5 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-10-tsi-active-81kw-en-palmas+las.htm?id=8118494,9990
1,Skoda,Rapid,1.4tdi Cr Ambition,2016,,84.648 km,Diesel,90 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-14tdi-cr-ambition-en-castellon.htm?id=8106639,11000
2,Skoda,Rapid,1.6tdi Cr Ambition 66kw,2014,,130.000 km,Diesel,90 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-16tdi-cr-ambition-66kw-en-badajoz.htm?id=8086862,10800
3,Skoda,Rapid,1.4tdi Cr Ambition,2016,02,118.064 km,Diesel,90 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-14tdi-cr-ambition-en-sevilla.htm?id=7870598,10999
4,Skoda,Rapid,1.6tdi Cr Elegance 66kw,2014,,176.000 km,Diesel,90 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-16tdi-cr-elegance-66kw-en-malaga.htm?id=8117734,7999
5,Skoda,Rapid,1.4tdi Cr Style Dsg,2017,03,164.211 km,Diesel,90 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-14tdi-cr-style-dsg-en-valencia.htm?id=7635352,11483
6,Skoda,Rapid,1.4tdi Cr Ambition 66kw,2018,,79.789 km,Diesel,90 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-14tdi-cr-ambition-66kw-en-sevilla.htm?id=8047183,12500
7,Skoda,Rapid,1.2tsi Style 81kw,2017,,62.677 km,Gasolina,110 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-12tsi-style-81kw-en-cadiz.htm?id=7953255,13500
8,Skoda,Rapid,1.2tsi Ambition 81kw,2016,,120.000 km,Gasolina,110 CV,manual,5 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-12tsi-ambition-81kw-en-madrid.htm?id=8082493,9500
9,Skoda,Rapid,1.6tdi Cr Green Tec Ambition 66kw,2014,,155.000 km,Diesel,90 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-16tdi-cr-green-tec-ambition-66kw-en-madrid.htm?id=7992520,7500
10,Skoda,Rapid,1.4tdi Cr Active 66kw,2017,,93.000 km,Diesel,90 CV,manual,5 puertas,beige,Particular,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-14tdi-cr-active-66kw-en-murcia.htm?id=7944892,11990
11,Skoda,Rapid,1.6tdi Cr Active 77kw,2013,,215.136 km,Diesel,105 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-16tdi-cr-active-77kw-en-zaragoza.htm?id=7917198,4800
12,Skoda,Rapid,1.6tdi Cr Ambition 77kw,2014,,205.000 km,Diesel,105 CV,manual,5 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-16tdi-cr-ambition-77kw-en-malaga.htm?id=8021247,6000
13,Skoda,Rapid,1.0 Tsi Like 70kw,2019,06,42.858 km,Gasolina,95 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-10-tsi-like-70kw-en-madrid.htm?id=8121863,15490
14,Skoda,Rapid,1.4tdi Cr Style,2016,01,58.000 km,Diesel,90 CV,manual,5 puertas,Rojo Rio (metalizado),Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-14tdi-cr-style-en-madrid.htm?id=8118086,12990
15,Skoda,Rapid,1.0 Tsi Ambition 81kw Dsg,2019,03,64.790 km,Gasolina,110 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-10-tsi-ambition-81kw-dsg-en-granada.htm?id=8114824,12900
16,Skoda,Rapid,1.4tdi Cr Active,2016,03,130.400 km,Diesel,90 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-14tdi-cr-active-en-malaga.htm?id=8104044,9995
17,Skoda,Rapid,1.0 Tsi Active 70kw,2018,05,64.479 km,Gasolina,95 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-10-tsi-active-70kw-en-madrid.htm?id=8078740,11990
18,Skoda,Rapid,1.6tdi Cr Ambition 85kw,2016,05,79.750 km,Diesel,115 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-16tdi-cr-ambition-85kw-en-pontevedra.htm?id=8075996,13500
19,Skoda,Rapid,1.6tdi Cr Ambition 85kw,2016,05,79.750 km,Diesel,115 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-16tdi-cr-ambition-85kw-en-lugo.htm?id=8075820,13500
20,Skoda,Rapid,1.6tdi Cr Ambition 85kw,2016,05,79.750 km,Diesel,115 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-16tdi-cr-ambition-85kw-en-ourense.htm?id=8075789,13500
21,Skoda,Rapid,1.6tdi Cr Ambition 85kw,2016,05,79.750 km,Diesel,115 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-16tdi-cr-ambition-85kw-en-coruna+a.htm?id=8075737,13500
22,Skoda,Rapid,1.2tsi Active 81kw,2017,03,47.352 km,Gasolina,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-rapid-12tsi-active-81kw-en-madrid.htm?id=8071641,11490
