,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Nissan,Navara,2.5dci Se Dcb. 4x4,2006,,225.000 km,Diesel,174 CV,manual,4 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-25dci-se-dcb-4x4-en-palmas+las.htm?id=7966213,14990
1,Nissan,Navara,2.3dci Dcb. Acenta 190,2016,,70.000 km,Diesel,190 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-23dci-dcb-acenta-190-en-ciudad+real.htm?id=8005729,21990
2,Nissan,Navara,2.3dci Ch.king Dcb. Visia,2017,,123.000 km,Diesel,161 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-23dci-chking-dcb-visia-en-alicante.htm?id=8125593,19999
3,Nissan,Navara,2.3dci Doble Cabina Tekna 190,2017,,98.000 km,Diesel,190 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-23dci-doble-cabina-tekna-190-en-malaga.htm?id=8117746,23999
4,Nissan,Navara,2.3dci Doble Cabina Tekna,2018,06,73.000 km,Diesel,161 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-23dci-doble-cabina-tekna-en-lugo.htm?id=8077043,21900
5,Nissan,Navara,2.3dci Doble Cabina Visia,2018,01,72.000 km,Diesel,161 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-23dci-doble-cabina-visia-en-lugo.htm?id=8072991,21900
6,Nissan,Navara,2.3dci Dcb. Tekna Aut. 190,2019,01,71.847 km,Diesel,190 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-23dci-dcb-tekna-aut-190-en-palmas+las.htm?id=8059121,32995
7,Nissan,Navara,2.5dci Se Dcb. 4x4,2014,07,85.000 km,Diesel,190 CV,manual,4 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-25dci-se-dcb-4x4-en-barcelona.htm?id=8043144,20499
8,Nissan,Navara,2.3dci Dcb. Trek-1 190,2017,,40.000 km,Diesel,190 CV,automática,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-23dci-dcb-trek-1-190-en-sevilla.htm?id=8095797,40990
9,Nissan,Navara,2.5dci Se King Cb. 4x4,2007,,178.915 km,Diesel,171 CV,manual,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-25dci-se-king-cb-4x4-en-granada.htm?id=8066496,12800
10,Nissan,Navara,2.3dci Doble Cabina Acenta,2019,08,66.616 km,Diesel,161 CV,manual,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-23dci-doble-cabina-acenta-en-madrid.htm?id=8050590,26290
11,Nissan,Navara,2.3dci Doble Cabina Acenta,2019,08,66.616 km,Diesel,161 CV,manual,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-23dci-doble-cabina-acenta-en-madrid.htm?id=8049881,26290
12,Nissan,Navara,2.3dci Dcb. N-connecta 190,2018,10,17.000 km,Diesel,190 CV,manual,4 puertas,Marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-23dci-dcb-n-connecta-190-en-barcelona.htm?id=8038316,28490
13,Nissan,Navara,2.3dci Doble Cabina Acenta,2018,02,84.025 km,Diesel,161 CV,manual,4 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-23dci-doble-cabina-acenta-en-lugo.htm?id=7993693,26500
14,Nissan,Navara,2.3dci Doble Cabina Acenta,2019,03,48.680 km,Diesel,161 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-23dci-doble-cabina-acenta-en-sevilla.htm?id=7968076,28490
15,Nissan,Navara,2.3dci Doble Cabina Visia,2019,07,64.357 km,Diesel,161 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-23dci-doble-cabina-visia-en-madrid.htm?id=7967720,25950
16,Nissan,Navara,2.3dci Dcb. Tekna Aut. 190,2019,04,50.465 km,Diesel,190 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-23dci-dcb-tekna-aut-190-en-palmas+las.htm?id=7950770,34995
17,Nissan,Navara,Np300  2.3dci King Cab Acenta,2017,11,94.000 km,Diesel,161 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-np300--23dci-king-cab-acenta-en-cordoba.htm?id=7784252,24900
18,Nissan,Navara,2.3dci Doble Cabina Visia,2019,08,45.000 km,Diesel,161 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-23dci-doble-cabina-visia-en-cordoba.htm?id=6547393,25900
19,Nissan,Navara,2.3dci Dcb. N-connecta,2019,,67.700 km,Diesel,161 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-23dci-dcb-n-connecta-en-castellon.htm?id=7728765,29900
20,Nissan,Navara,2.3dci Dcb. N-guard Aut. 190,2018,,59.990 km,Diesel,190 CV,automática secuencial,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-navara-23dci-dcb-n-guard-aut-190-en-illes+balears.htm?id=7861707,17600
