,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Opel,Movano,Fg. 2.3turbo D 135 L2h2 3500,2020,,199.000 km,Diesel,135 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-movano-fg-23turbo-d-135-l2h2-3500-en-madrid.htm?id=8112721,14000
1,Opel,Movano,Fg. 2.3cdti L3h2 3500 130,2019,,164.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-movano-fg-23cdti-l3h2-3500-130-en-madrid.htm?id=8110741,16000
2,Opel,Movano,Fg. 2.2 Bluehdi Base 140 L2h2 3500,2023,,NUEVO,Diesel,139 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-opel-movano-fg-22-bluehdi-base-140-l2h2-3500-en-toledo.htm?id=8106938,29300
3,Opel,Movano,Fg. 2.3cdti L1h2 3300 130,2018,,180.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-movano-fg-23cdti-l1h2-3300-130-en-lleida.htm?id=8101279,12900
4,Opel,Movano,Fg. 2.3cdti L3h2 3500 130,2019,,200.000 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-movano-fg-23cdti-l3h2-3500-130-en-barcelona.htm?id=8099622,15990
5,Opel,Movano,Fg. 2.3cdti L2h2 3500 130,2020,01,66.562 km,Diesel,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-movano-fg-23cdti-l2h2-3500-130-en-pontevedra.htm?id=8093099,19500
6,Opel,Movano,Fg. 2.3turbo D S/s 150 L3h2 3500,2020,08,128.306 km,Diesel,150 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-movano-fg-23turbo-d-ss-150-l3h2-3500-en-lugo.htm?id=8060608,18950
7,Opel,Movano,Fg. 2.3turbo D S/s 150 L3h3 3500,2020,08,128.306 km,Diesel,150 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-movano-fg-23turbo-d-ss-150-l3h3-3500-en-ourense.htm?id=8060594,18950
8,Opel,Movano,Fg. 2.3turbo D S/s 150 L3h3 3500,2020,08,128.306 km,Diesel,150 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-movano-fg-23turbo-d-ss-150-l3h3-3500-en-coruna+a.htm?id=8060470,18950
9,Opel,Movano,Fg. 2.3turbo D 135 L3h2 3500,2020,,110.000 km,Diesel,135 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-movano-fg-23turbo-d-135-l3h2-3500-en-navarra.htm?id=8037162,20100
10,Opel,Movano,Fg. 2.3cdti L2h2 3500 130,2019,,101.900 km,Diesel,130 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-movano-fg-23cdti-l2h2-3500-130-en-cordoba.htm?id=7995028,18650
11,Opel,Movano,Fg. 2.3cdti L1h2 3500 110,2019,,32.582 km,Diesel,110 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-movano-fg-23cdti-l1h2-3500-110-en-malaga.htm?id=8117152,23499
12,Opel,Movano,Fg. 2.3cdti L1h2 3300 130,2017,10,240.402 km,Diesel,130 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-movano-fg-23cdti-l1h2-3300-130-en-sevilla.htm?id=8084230,17950
