,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
35,Fiat,Scudo,Furgón 1.5bluehdi L1 Business 120,2022,05,250 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-fiat-scudo-furgon-15bluehdi-l1-business-120-en-zaragoza.htm?id=7895484,30500
36,Fiat,Scudo,E- Combi L2 50kw,2023,02,100 km,Eléctrico,136 CV,"directo, sin caja de cambios",4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-fiat-scudo-e--combi-l2-50kw-en-malaga.htm?id=7871071,41900
37,Fiat,Scudo,Fg.10 C 1.6mjt Comfort,2014,,189.876 km,Diesel,90 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-scudo-fg10-c-16mjt-comfort-en-sevilla.htm?id=8106724,11999
38,Fiat,Scudo,Furgón Doble Cabina Plegable 1.5bluehdi L2 120,2023,,NUEVO,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-fiat-scudo-furgon-doble-cabina-plegable-15bluehdi-l2-120-en-toledo.htm?id=8077637,33500
39,Fiat,Scudo,Furgón 1.5bluehdi L2 120,2023,,NUEVO,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-fiat-scudo-furgon-15bluehdi-l2-120-en-toledo.htm?id=8077636,29900
40,Fiat,Scudo,Furgón 1.5bluehdi L2 100,2023,,NUEVO,Diesel,100 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-fiat-scudo-furgon-15bluehdi-l2-100-en-toledo.htm?id=8077624,28500
41,Fiat,Scudo,Fg.10 C 1.6mjt Comfort,2014,11,171.255 km,Diesel,90 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-scudo-fg10-c-16mjt-comfort-en-sevilla.htm?id=8020180,12450
42,Fiat,Scudo,Fg.10 C 1.6mjt Comfort,2015,08,154.104 km,Diesel,90 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-scudo-fg10-c-16mjt-comfort-en-sevilla.htm?id=7931547,15750
43,Fiat,Scudo,Combi 10 Standard L 1.6mjt 5-9,2010,,200.000 km,Diesel,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-scudo-combi-10-standard-l-16mjt-5-9-en-vizcaya.htm?id=8087798,10500
44,Fiat,Scudo,Fg.10 C 2.0mjt Comfort 130 E5,2016,,146.000 km,Diesel,128 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-scudo-fg10-c-20mjt-comfort-130-e5-en-zaragoza.htm?id=8025712,14950
45,Fiat,Scudo,C. 10 Std. Sem. C 2.0mjt 130 N1 E5,2014,,134.000 km,Diesel,130 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-scudo-c-10-std-sem-c-20mjt-130-n1-e5-en-granada.htm?id=8007779,16899
46,Fiat,Scudo,E- Furgón L2 75kw,2023,05,1 km,Eléctrico,136 CV,"directo, sin caja de cambios",4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-fiat-scudo-e--furgon-l2-75kw-en-sevilla.htm?id=7897675,42700
47,Fiat,Scudo,Furgón 1.5bluehdi L1 Business 120,2023,01,6.500 km,Diesel,120 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-fiat-scudo-furgon-15bluehdi-l1-business-120-en-burgos.htm?id=7849186,30500
48,Fiat,Scudo,Furgón 1.5bluehdi L1 Business 100,2022,09,28.208 km,Diesel,100 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-scudo-furgon-15bluehdi-l1-business-100-en-vizcaya.htm?id=8079305,23900
49,Fiat,Scudo,C. 10 Std. L 2.0mjt 5-6 130 N1 E5,2015,11,224.000 km,Diesel,130 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-scudo-c-10-std-l-20mjt-5-6-130-n1-e5-en-lugo.htm?id=8077056,13900
50,Fiat,Scudo,Fg.10 C 1.6mjt Comfort,2016,06,145.000 km,Diesel,90 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-fiat-scudo-fg10-c-16mjt-comfort-en-madrid.htm?id=7985697,10660
